iter	Passed	Remaining
569	1964	1482
570	1967	1478
571	1972	1475
572	1975	1471
573	1977	1467
574	1980	1464
575	1983	1460
576	1987	1456
577	1990	1453
578	1994	1450
579	1998	1447
580	2001	1443
581	2005	1440
582	2008	1436
583	2011	1432
584	2014	1428
585	2016	1424
586	2020	1421
587	2023	1417
588	2026	1414
589	2029	1410
590	2032	1406
591	2035	1402
592	2038	1399
593	2041	1395
594	2044	1391
595	2047	1388
596	2050	1384
597	2054	1380
598	2057	1377
599	2060	1373
600	2062	1369
601	2065	1365
602	2068	1362
603	2072	1358
604	2075	1355
605	2078	1351
606	2081	1347
607	2083	1343
608	2087	1340
609	2090	1336
610	2093	1332
611	2096	1329
612	2099	1325
613	2102	1321
614	2105	1318
615	2108	1314
616	2111	1310
617	2114	1307
618	2117	1303
619	2121	1300
620	2124	1296
621	2127	1293
622	2130	1289
623	2133	1285
624	2136	1281
625	2140	1278
626	2143	1275
627	2146	1271
628	2149	1267
629	2152	1263
630	2154	1260
631	2158	1257
632	2161	1253
633	2164	1249
634	2167	1245
635	2170	1242
636	2173	1238
637	2177	1235
638	2180	1231
639	2182	1227
640	2185	1224
641	2189	1220
642	2192	1217
643	2194	1213
644	2197	1209
645	2200	1205
646	2203	1202
647	2206	1198
648	2210	1195
649	2212	1191
650	2215	1187
651	2219	1184
652	2221	1180
653	2225	1177
654	2228	1173
655	2231	1169
656	2234	1166
657	2237	1162
658	2240	1159
659	2244	1156
660	2246	1152
661	2249	1148
662	2252	1145
663	2255	1141
664	2259	1138
665	2262	1134
666	2265	1130
667	2267	1127
668	2270	1123
669	2273	1119
670	2277	1116
671	2280	1113
672	2283	1109
673	2286	1105
674	2288	1102
675	2292	1098
676	2295	1095
677	2298	1091
678	2301	1087
679	2304	1084
680	2307	1080
681	2311	1077
682	2314	1074
683	2317	1070
684	2320	1066
685	2323	1063
686	2327	1060
687	2330	1056
688	2332	1053
689	2335	1049
690	2338	1045
691	2341	1042
692	2345	1039
693	2348	1035
694	2351	1031
695	2353	1028
696	2356	1024
697	2359	1021
698	2362	1017
699	2365	1013
700	2368	1010
701	2371	1006
702	2374	1003
703	2377	999
704	2380	996
705	2383	992
706	2386	989
707	2389	985
708	2392	981
709	2396	978
710	2399	975
711	2401	971
712	2404	968
713	2407	964
714	2411	961
715	2414	957
716	2417	954
717	2420	950
718	2423	946
719	2425	943
720	2429	940
721	2432	936
722	2435	933
723	2438	929
724	2441	925
725	2444	922
726	2448	919
727	2450	915
728	2453	912
729	2456	908
730	2459	905
731	2463	901
732	2466	898
733	2468	894
734	2471	891
735	2474	887
736	2477	884
737	2481	880
738	2484	877
739	2487	874
740	2490	870
741	2493	867
742	2497	863
743	2500	860
744	2503	856
745	2505	853
746	2508	849
747	2511	846
748	2514	842
749	2517	839
750	2520	835
751	2523	832
752	2526	828
753	2529	825
754	2533	821
755	2535	818
756	2538	814
757	2541	811
758	2544	808
759	2548	804
760	2551	801
761	2554	797
762	2557	794
763	2560	790
764	2563	787
765	2566	784
766	2569	780
767	2572	777
768	2575	773
769	2578	770
770	2581	766
771	2584	763
772	2587	759
773	2590	756
774	2593	752
775	2596	749
776	2600	746
777	2603	742
778	2606	739
779	2609	735
780	2612	732
781	2616	729
782	2619	725
783	2622	722
784	2624	718
785	2627	715
786	2630	712
787	2634	708
788	2637	705
789	2640	701
790	2643	698
791	2646	694
792	2650	691
793	2653	688
794	2656	684
795	2658	681
796	2661	677
797	2664	674
798	2668	671
799	2671	667
800	2674	664
801	2677	660
802	2679	657
803	2684	654
804	2687	650
805	2690	647
806	2693	644
807	2695	640
808	2699	637
809	2702	633
810	2705	630
811	2708	627
812	2711	623
813	2714	620
814	2718	617
815	2721	613
816	2723	610
817	2726	606
818	2729	603
819	2732	599
820	2735	596
821	2738	593
822	2741	589
823	2744	586
824	2747	582
825	2750	579
826	2753	576
827	2757	572
828	2759	569
829	2762	565
830	2765	562
831	2769	559
832	2772	555
833	2775	552
834	2777	548
835	2780	545
836	2783	542
837	2788	538
838	2790	535
839	2793	532
840	2796	528
841	2799	525
842	2803	522
843	2806	518
844	2809	515
845	2812	511
846	2814	508
847	2818	505
848	2821	501
849	2824	498
850	2827	495
851	2830	491
852	2833	488
853	2837	485
854	2840	481
855	2843	478
856	2846	474
857	2849	471
858	2852	468
859	2855	464
860	2857	461
861	2860	457
862	2863	454
863	2866	451
864	2869	447
865	2873	444
866	2875	441
867	2878	437
868	2882	434
869	2885	431
870	2889	427
871	2892	424
872	2895	421
873	2898	417
874	2900	414
875	2904	411
876	2907	407
877	2910	404
878	2913	401
879	2916	397
880	2918	394
881	2922	391
882	2925	387
883	2928	384
884	2931	380
885	2934	377
886	2937	374
887	2941	370
888	2943	367
889	2946	364
890	2949	360
891	2952	357
892	2956	354
893	2959	350
894	2962	347
895	2964	344
896	2967	340
897	2970	337
898	2974	334
899	2977	330
900	2980	327
901	2983	324
902	2986	320
903	2990	317
904	2993	314
905	2996	310
906	2998	307
907	3001	304
908	3005	300
909	3008	297
910	3011	294
911	3014	290
912	3017	287
913	3020	284
914	3023	280
915	3026	277
916	3029	274
917	3032	270
918	3035	267
919	3038	264
920	3042	260
921	3045	257
922	3048	254
923	3051	250
924	3054	247
925	3057	244
926	3060	241
927	3063	237
928	3066	234
929	3069	231
930	3072	227
931	3076	224
932	3079	221
933	3082	217
934	3084	214
935	3087	211
936	3092	207
937	3095	204
938	3098	201
939	3100	197
940	3103	194
941	3106	191
942	3110	188
943	3113	184
944	3116	181
945	3119	178
946	3121	174
947	3125	171
948	3128	168
949	3131	164
950	3134	161
951	3137	158
952	3140	154
953	3144	151
954	3147	148
955	3150	144
956	3153	141
957	3156	138
958	3160	135
959	3163	131
960	3166	128
961	3169	125
962	3171	121
963	3174	118
964	3177	115
965	3180	111
966	3183	108
967	3186	105
968	3189	102
969	3192	98
970	3196	95
971	3199	92
972	3201	88
973	3204	85
974	3207	82
975	3211	78
976	3214	75
977	3217	72
978	3220	69
979	3222	65
980	3225	62
981	3229	59
982	3232	55
983	3235	52
984	3238	49
985	3241	46
986	3244	42
987	3247	39
988	3250	36
989	3253	32
990	3256	29
991	3259	26
992	3263	23
993	3266	19
994	3269	16
995	3272	13
996	3274	9
997	3277	6
998	3281	3
999	3284	0
